7.652118206024169922e-01,-3.532372415065765381e-03,8.578617572784423828e-01,1.835590600967407227e-02
-8.629316464066505432e-03,4.123220443725585938e-01,6.556973606348037720e-02,5.144187211990356445e-01
2.960698306560516357e-01,9.585922956466674805e-01,3.566353619098663330e-01,1.008295893669128418e+00
2.292489558458328247e-01,5.002499818801879883e-01,2.899450361728668213e-01,6.081782579421997070e-01
9.604902267456054688e-01,3.185468614101409912e-01,9.990837574005126953e-01,4.189044535160064697e-01
8.176257461309432983e-02,1.593111306428909302e-01,8.546227961778640747e-02,2.116982489824295044e-01
9.597280621528625488e-01,3.344048261642456055e-01,1.008558869361877441e+00,4.258060455322265625e-01
1.949054002761840820e-01,8.786660432815551758e-01,2.304494380950927734e-01,8.821660280227661133e-01
1.190707907080650330e-01,7.345732450485229492e-01,2.302837371826171875e-01,8.462748527526855469e-01
7.202441692352294922e-01,9.584805369377136230e-01,8.166066408157348633e-01,9.593657851219177246e-01
1.133788377046585083e-03,2.739776670932769775e-01,9.346628189086914062e-02,3.614362180233001709e-01
4.027748703956604004e-01,7.260229587554931641e-01,4.583534598350524902e-01,8.020827770233154297e-01
7.276844978332519531e-01,7.590863704681396484e-01,7.899613380432128906e-01,8.606386184692382812e-01
8.978424072265625000e-01,7.816198468208312988e-01,9.523150920867919922e-01,8.559097647666931152e-01
3.740682452917098999e-02,3.041095137596130371e-01,7.853169739246368408e-02,3.188806772232055664e-01
3.935878872871398926e-01,6.669626832008361816e-01,4.857211709022521973e-01,7.060375809669494629e-01
7.986417412757873535e-01,1.541966199874877930e-01,8.622687458992004395e-01,1.549053788185119629e-01
2.461046874523162842e-01,5.724778771400451660e-01,2.894625961780548096e-01,5.881816744804382324e-01
4.464669525623321533e-01,6.445743441581726074e-01,5.289425849914550781e-01,7.613974213600158691e-01
4.078056812286376953e-01,7.879253625869750977e-01,5.102517604827880859e-01,8.947817087173461914e-01
2.082144320011138916e-01,8.227701187133789062e-01,3.117941915988922119e-01,8.603770732879638672e-01
1.321238428354263306e-01,6.071099042892456055e-01,2.361180335283279419e-01,7.043529748916625977e-01
2.098008096218109131e-01,7.228477001190185547e-01,3.231213390827178955e-01,7.665001153945922852e-01
